"homepage","bias"
"https://www.thesun.co.uk/","right"
"https://71republic.com/","right"
"http://yellowhammernews.com/","right"
"http://www.thepoliticalinsider.com/","right"
"http://www.freedomworks.org/","right"
"http://libertyalliance.com/","right"
"https://www.libertynation.com","right"
"https://www.illinoispolicy.org/","right"
"https://capitalresearch.org/","right"
"http://www.foxnews.com/","right"
"http://www.newrevolutionnow.org/","right"
"http://www.conservativedailynews.com/","right"
"http://sonorannews.com/","right"
"http://truthinmedia.com/","right"
"http://www.nationalcenter.org/","right"
"https://www.alec.org","right"
"http://www.newsmax.com/","right"
"http://www.againstcronycapitalism.org/","right"
