"","id","order","screen_name","name","name_label","description","descrip_label"
"1",27493883,3477,"joncoopertweets","Jon Cooper ????","o","Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature, NY. @DukeU alum","o"
"2",2173266672,2916,"MihaiVioreanu","Mihai Vioreanu","o","Father, husband, orthopaedic surgeon, sports enthusiast & knee geek","o"
"3",800570658929262592,1481,"chrislongview","Florida Chris","o","Proud Montanan & Floridian. Huge nerd w/ a lab named Shelby. I raise lots of $ for stuff. Loves: Emory, Vanderbilt, Columbia, USF, beach, clearly a homo.","o"
"4",1077214808,601,"GovInslee","Governor Jay Inslee","o","Governor of Washington. Tweets on innovation, jobs, education, clean energy & my grandkids. Building a WA that works for everyone.","o"
"5",380191960,1636,"ohKAYx33","Kay","o","very queer | Pronouns: she/her","o"
"6",138182116,2517,"trish_regan","Trish Regan","o","Award winning journalist, Fearless defender of TRUTH. PROUD FREEDOM-LOVING CAPITALIST Get my DAILY pod here: http://apple.co/342OhYE","o"
"7",49616509,198,"StoneSculptorJN","Jay Nelson ???? ???","o","Political Commentator, Philosopher, Culture Vulture, Sculptor, Saw Operator, Tree Planter, Trail Blazer, with “Outlandish Ideas” ?????? (not medical advice)","o"
"8",807095,6175,"nytimes","The New York Times","g","News tips? Share them here: http://nyti.ms/2FVHq9v","g"
"9",3664109892,3070,"TrueNorthCentre","True North","o","True North is a Canadian digital media platform focused on investigative reporting and telling the other side of the story.","g"
"10",473093118,1278,"xcgsailor","xcgsailor","o","Viet Nam Era Coast Guard Vet....Proud to be an American, CONSERVATIVE, DRAIN THE SWAMP, TAKE BACK THE COUNTRY 2022/2024
EXPOSING CORRUPTION ONE TWEET AT A TIME","o"
"11",133182052,3728,"Arun2981","Arun Arora","o","Love. Laugh. Live .  ????","o"
"12",1349149096909668352,1081,"POTUS","President Biden","o","46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: http://whitehouse.gov/privacy","o"
