node_id module flow
250291 1 0.00514861
307171 1 0.00447447
82628 1 0.00390405
157744 1 0.00362254
122757 1 0.00344475
163608 1 0.00314843
49572 1 0.00304472
55278 1 0.0027558
28372 1 0.00274098
712066 1 0.00273358
410407 1 0.00268172
192358 1 0.00265209
371959 1 0.00256319
341561 1 0.00254837
283914 1 0.00253356
57484 1 0.00251133
202280 1 0.00245948
404907 1 0.00239281
233210 1 0.00234836
298693 1 0.00234095
292751 1 0.00223724
268109 1 0.00219279
226782 1 0.00215575
334839 1 0.00208167
112274 1 0.00204463
171137 1 0.00201499
109138 1 0.00198536
258409 1 0.00197795
211092 1 0.00197055
382466 1 0.00196314
362133 1 0.00191869
164484 1 0.00191128
417781 1 0.00188165
409056 1 0.00184461
275897 1 0.0018372
314698 1 0.00175571
159172 1 0.0017409
118212 1 0.00172608
10804 1 0.00171867
369556 1 0.00171126
51948 1 0.00165941
384839 1 0.00162977
348342 1 0.00159273
164792 1 0.00157792
383836 1 0.00157051
348211 1 0.0015631
254083 1 0.00155569
374035 1 0.00155569
206582 1 0.00154829
194415 1 0.00152606
29588 1 0.00148902
38145 1 0.00148161
36850 1 0.00145939
309240 1 0.00144457
335813 1 0.00144457
146930 1 0.00143716
413071 1 0.00142976
334156 1 0.00140753
30844 1 0.00140012
462828 1 0.00140012
64073 1 0.00139272
50197 1 0.00137049
458855 1 0.00133345
430532 1 0.00131123
318929 1 0.00131123
435488 1 0.00126678
345158 1 0.00126678
19971 1 0.00125937
136395 1 0.00124456
195770 1 0.00122233
222880 1 0.00122233
3199 1 0.00118529
173055 1 0.00116307
194653 1 0.00115566
20904 1 0.00114825
318222 1 0.00108158
173691 1 0.00108158
449094 1 0.00107417
6798 1 0.00105935
37342 1 0.00105935
420349 1 0.00104454
443456 1 0.00103713
297823 1 0.00102231
349930 1 0.0010075
94830 1 0.0010075
271355 1 0.000992681
239603 1 0.000985273
121809 1 0.000977865
405164 1 0.000970457
300770 1 0.000963049
13588 1 0.000948232
425122 1 0.000948232
214640 1 0.000933416
180742 1 0.0009186
269975 1 0.000911192
63899 1 0.000903784
452058 1 0.000896376
97706 1 0.000874152
460309 1 0.000851928
348706 1 0.000851928
176267 1 0.00084452
440294 1 0.000829703
433148 1 0.000822295
410309 1 0.000807479
10967 1 0.000807479
314857 1 0.000800071
428613 1 0.000800071
21115 1 0.000792663
2292894 1 0.000792663
94263 1 0.000777847
263813 1 0.000777847
457969 1 0.000770439
65612 1 0.000770439
370197 1 0.000755623
272518 1 0.000755623
350680 1 0.000748215
410613 1 0.000748215
242415 1 0.000748215
427915 1 0.00072599
358248 1 0.00072599
411651 1 0.00072599
4523 1 0.000718582
458069 1 0.000711174
219992 1 0.000711174
408783 1 0.000711174
387418 1 0.000711174
85795 1 0.000696358
304957 1 0.00068895
365019 1 0.000681542
41002 1 0.000666726
289153 1 0.000666726
223583 1 0.000666726
596929 1 0.000659318
242125 1 0.00065191
202416 1 0.00065191
458641 1 0.00065191
313131 1 0.000644502
160119 1 0.000637094
676040 1 0.000622278
217233 1 0.000622278
295644 1 0.000622278
254360 1 0.000614869
422063 1 0.000614869
557967 1 0.000614869
416903 1 0.000607461
292431 1 0.000607461
70589 1 0.000607461
258289 1 0.000600053
34802 1 0.000592645
189667 1 0.000592645
150435 1 0.000592645
127261 1 0.000592645
204423 1 0.000585237
376202 1 0.000570421
360006 1 0.000563013
448319 1 0.000563013
1868286 1 0.000563013
97283 1 0.000563013
263547 1 0.000555605
376576 1 0.000555605
373883 1 0.000555605
7893 1 0.000555605
13831 1 0.000540789
160700 1 0.000533381
233664 1 0.000533381
144582 1 0.000533381
383934 1 0.000533381
163990 1 0.000525973
397450 1 0.000525973
160726 1 0.000518565
331369 1 0.000518565
353255 1 0.000511157
155031 1 0.000511157
66465 1 0.000503748
334632 1 0.000503748
361793 1 0.000503748
265764 1 0.00049634
111839 1 0.00049634
394005 1 0.000488932
414571 1 0.000488932
396253 1 0.000474116
1960 1 0.000466708
349282 1 0.000466708
290477 1 0.000466708
204768 1 0.0004593
88861 1 0.0004593
93080 1 0.0004593
434847 1 0.0004593
118799 1 0.0004593
314154 1 0.0004593
201174 1 0.000437076
1382883 1 0.000437076
426376 1 0.000429668
163926 1 0.000429668
108485 1 0.000429668
404736 1 0.00042226
14133 1 0.00042226
1805078 1 0.000414852
345696 1 0.000414852
1758624 1 0.000414852
300773 1 0.000400036
39125 1 0.000392627
323159 1 0.000385219
215001 1 0.000385219
91789 1 0.000385219
203093 1 0.000377811
340987 1 0.000370403
297848 1 0.000370403
244579 1 0.000370403
281642 1 0.000362995
687763 1 0.000340771
443170 1 0.000340771
415892 1 0.000340771
307087 1 0.000340771
107916 1 0.000340771
50191 1 0.000340771
191609 1 0.000333363
292897 1 0.000325955
110728 1 0.000325955
339308 1 0.000325955
412373 1 0.000325955
188351 1 0.000325955
251134 1 0.000325955
389900 1 0.000325955
271714 1 0.000318547
415861 1 0.000318547
299107 1 0.000318547
429488 1 0.000311139
137021 1 0.000311139
342626 1 0.000303731
249351 1 0.000303731
816000 1 0.000296323
431598 1 0.000288915
380245 1 0.000288915
249609 1 0.000281507
256013 1 0.000281507
271925 1 0.000281507
2098 1 0.000274098
81305 1 0.000274098
187692 1 0.000274098
402210 1 0.00026669
207174 1 0.00026669
203761 1 0.00026669
59781 1 0.000259282
1873 1 0.000259282
2415608 1 0.000259282
40147 1 0.000259282
372888 1 0.000259282
479508 1 0.000251874
248757 1 0.000244466
50760 1 0.000244466
43152 1 0.000244466
191269 1 0.000244466
384408 1 0.000244466
69069 1 0.000244466
440636 1 0.000237058
371517 1 0.000237058
35826 1 0.00022965
425423 1 0.00022965
66367 1 0.00022965
222140 1 0.00022965
149803 1 0.000222242
109875 1 0.000222242
228480 1 0.000222242
452078 1 0.000222242
89048 1 0.000214834
225326 1 0.000214834
320093 1 0.000214834
461529 1 0.000207426
267332 1 0.000207426
25087 1 0.000207426
371900 1 0.000207426
476429 1 0.000207426
205011 1 0.000200018
317331 1 0.000200018
149210 1 0.00019261
447989 1 0.00019261
77950 1 0.00019261
417743 1 0.00019261
36835 1 0.00019261
346501 1 0.00019261
59692 1 0.00019261
187468 1 0.00019261
85259 1 0.00019261
437223 1 0.00019261
349771 1 0.00019261
309586 1 0.00019261
131082 1 0.000185202
251805 1 0.000185202
448109 1 0.000185202
122391 1 0.000177794
345685 1 0.000177794
422631 1 0.000177794
289936 1 0.000177794
373392 1 0.000177794
2762836 1 0.000177794
423416 1 0.000177794
292599 1 0.000170386
404367 1 0.000162977
42873 1 0.000162977
1997 1 0.000162977
425406 1 0.000162977
398328 1 0.000162977
3764404 1 0.000162977
312812 1 0.000155569
389849 1 0.000155569
242271 1 0.000155569
1531668 1 0.000155569
405414 1 0.000155569
317390 1 0.000155569
311972 1 0.000148161
275512 1 0.000148161
39080 1 0.000148161
224365 1 0.000148161
372655 1 0.000148161
166359 1 0.000140753
393221 1 0.000140753
132396 1 0.000140753
460605 1 0.000140753
357807 1 0.000140753
214266 1 0.000133345
361391 1 0.000133345
565070 1 0.000133345
410547 1 0.000133345
27542 1 0.000133345
175240 1 0.000133345
306423 1 0.000133345
240893 1 0.000133345
323567 1 0.000133345
348116 1 0.000125937
326649 1 0.000125937
431012 1 0.000125937
284451 1 0.000125937
317509 1 0.000118529
455127 1 0.000118529
69259 1 0.000118529
33656 1 0.000111121
259564 1 0.000111121
72792 1 0.000111121
103427 1 0.000111121
147173 1 0.000111121
112116 1 0.000111121
491495 1 0.000103713
412002 1 0.000103713
190683 1 0.000103713
171326 1 0.000103713
415980 1 0.000103713
402290 1 0.000103713
92825 1 0.000103713
328043 1 0.000103713
174191 1 0.000103713
204843 1 9.63049e-05
25449 1 9.63049e-05
281451 1 9.63049e-05
277703 1 9.63049e-05
76634 1 9.63049e-05
378491 1 9.63049e-05
51413 1 9.63049e-05
262750 1 9.63049e-05
339642 1 8.88968e-05
229740 1 8.88968e-05
129745 1 8.88968e-05
204266 1 8.88968e-05
16897 1 8.88968e-05
98720 1 8.88968e-05
450193 1 8.88968e-05
384477 1 8.88968e-05
379809 1 8.88968e-05
339616 1 8.88968e-05
120790 1 8.88968e-05
116970 1 8.88968e-05
490130 1 8.88968e-05
23625 1 8.88968e-05
85037 1 8.14887e-05
378117 1 8.14887e-05
102929 1 8.14887e-05
287595 1 8.14887e-05
233203 1 8.14887e-05
967772 1 7.40807e-05
77505 1 7.40807e-05
247616 1 7.40807e-05
2650577 1 7.40807e-05
724404 1 7.40807e-05
420852 1 7.40807e-05
310442 1 7.40807e-05
398197 1 7.40807e-05
282930 1 7.40807e-05
86774 1 7.40807e-05
286787 1 7.40807e-05
6038 1 7.40807e-05
160970 1 6.66726e-05
8076 1 6.66726e-05
98815 1 6.66726e-05
366312 1 6.66726e-05
25120 1 6.66726e-05
246375 1 6.66726e-05
223914 1 6.66726e-05
79359 1 6.66726e-05
439427 1 6.66726e-05
18205 1 6.66726e-05
210369 1 6.66726e-05
513575 1 6.66726e-05
50440 1 6.66726e-05
441637 1 6.66726e-05
30102 1 5.92645e-05
250074 1 5.92645e-05
149841 1 5.92645e-05
220220 1 5.92645e-05
55819 1 5.92645e-05
212937 1 5.92645e-05
362865 1 5.92645e-05
158199 1 5.92645e-05
453188 1 5.92645e-05
607528 1 5.92645e-05
696538 1 5.92645e-05
69030 1 5.92645e-05
710218 1 5.18565e-05
365431 1 5.18565e-05
320286 1 5.18565e-05
35570 1 5.18565e-05
344699 1 5.18565e-05
419681 1 5.18565e-05
278465 1 5.18565e-05
258158 1 5.18565e-05
251125 1 5.18565e-05
390490 1 5.18565e-05
220016 1 5.18565e-05
554 1 5.18565e-05
339513 1 4.44484e-05
319435 1 4.44484e-05
435498 1 4.44484e-05
3095714 1 4.44484e-05
373827 1 4.44484e-05
335430 1 4.44484e-05
180131 1 4.44484e-05
258236 1 4.44484e-05
233705 1 4.44484e-05
200716 1 4.44484e-05
207626 1 4.44484e-05
3819668 1 3.70403e-05
241861 1 3.70403e-05
95472 1 3.70403e-05
121670 1 3.70403e-05
268089 1 3.70403e-05
334361 1 3.70403e-05
26210 1 3.70403e-05
331888 1 3.70403e-05
28350 1 3.70403e-05
377326 1 3.70403e-05
30493 1 3.70403e-05
414911 1 3.70403e-05
269290 1 3.70403e-05
197099 1 3.70403e-05
33488 1 3.70403e-05
295538 1 3.70403e-05
41192 1 3.70403e-05
34347 1 3.70403e-05
304025 1 2.96323e-05
753994 1 2.96323e-05
41441 1 2.96323e-05
285188 1 2.96323e-05
41855 1 2.96323e-05
1147732 1 2.96323e-05
49605 1 2.96323e-05
185027 1 2.96323e-05
369171 1 2.96323e-05
317579 1 2.96323e-05
1497046 1 2.96323e-05
17452 1 2.96323e-05
69368 1 2.96323e-05
73968 1 2.96323e-05
417253 1 2.96323e-05
172225 1 2.96323e-05
235060 1 2.96323e-05
200575 1 2.96323e-05
7815 1 2.96323e-05
408800 1 2.96323e-05
96002 1 2.96323e-05
107399 1 2.96323e-05
242087 1 2.96323e-05
107580 1 2.22242e-05
112096 1 2.22242e-05
440639 1 2.22242e-05
245293 1 2.22242e-05
254724 1 2.22242e-05
90280 1 2.22242e-05
453204 1 2.22242e-05
129644 1 2.22242e-05
141446 1 2.22242e-05
426327 1 2.22242e-05
260204 1 2.22242e-05
457749 1 2.22242e-05
416951 1 2.22242e-05
416482 1 2.22242e-05
64140 1 2.22242e-05
184581 1 2.22242e-05
62893 1 2.22242e-05
210559 1 2.22242e-05
206918 1 2.22242e-05
205875 1 2.22242e-05
270764 1 2.22242e-05
337342 1 2.22242e-05
5827 1 2.22242e-05
199561 1 2.22242e-05
197203 1 2.22242e-05
145189 1 1.48161e-05
339429 1 1.48161e-05
360637 1 1.48161e-05
192607 1 1.48161e-05
190076 1 1.48161e-05
22363 1 1.48161e-05
210769 1 1.48161e-05
329021 1 1.48161e-05
312264 1 1.48161e-05
184289 1 1.48161e-05
220805 1 1.48161e-05
33152 1 1.48161e-05
887869 1 1.48161e-05
178450 1 1.48161e-05
297108 1 1.48161e-05
226508 1 1.48161e-05
41090 1 1.48161e-05
296669 1 1.48161e-05
696311 1 1.48161e-05
43203 1 1.48161e-05
533822 1 1.48161e-05
60426 1 1.48161e-05
65314 1 1.48161e-05
378400 1 1.48161e-05
267422 1 1.48161e-05
228424 1 1.48161e-05
77331 1 1.48161e-05
83322 1 1.48161e-05
86071 1 1.48161e-05
150504 1 1.48161e-05
423547 1 1.48161e-05
147072 1 1.48161e-05
264318 1 1.48161e-05
255184 1 1.48161e-05
426078 1 1.48161e-05
426299 1 1.48161e-05
96329 1 1.48161e-05
444629 1 1.48161e-05
395798 1 1.48161e-05
114669 1 1.48161e-05
116857 1 1.48161e-05
117896 1 1.48161e-05
125225 1 1.48161e-05
430981 1 7.40807e-06
128153 1 7.40807e-06
431143 1 7.40807e-06
230191 1 7.40807e-06
124474 1 7.40807e-06
124392 1 7.40807e-06
434953 1 7.40807e-06
434981 1 7.40807e-06
121984 1 7.40807e-06
235386 1 7.40807e-06
437160 1 7.40807e-06
120951 1 7.40807e-06
119192 1 7.40807e-06
133231 1 7.40807e-06
140815 1 7.40807e-06
242765 1 7.40807e-06
427977 1 7.40807e-06
441813 1 7.40807e-06
113357 1 7.40807e-06
387284 1 7.40807e-06
143126 1 7.40807e-06
111765 1 7.40807e-06
386329 1 7.40807e-06
245529 1 7.40807e-06
106878 1 7.40807e-06
396231 1 7.40807e-06
248028 1 7.40807e-06
198001 1 7.40807e-06
354079 1 7.40807e-06
380667 1 7.40807e-06
88759 1 7.40807e-06
146674 1 7.40807e-06
161494 1 7.40807e-06
170343 1 7.40807e-06
77978 1 7.40807e-06
421759 1 7.40807e-06
173408 1 7.40807e-06
174960 1 7.40807e-06
175382 1 7.40807e-06
462211 1 7.40807e-06
376716 1 7.40807e-06
466819 1 7.40807e-06
468347 1 7.40807e-06
471092 1 7.40807e-06
63694 1 7.40807e-06
270635 1 7.40807e-06
176336 1 7.40807e-06
59714 1 7.40807e-06
507840 1 7.40807e-06
55658 1 7.40807e-06
227415 1 7.40807e-06
52669 1 7.40807e-06
51042 1 7.40807e-06
375468 1 7.40807e-06
417104 1 7.40807e-06
275299 1 7.40807e-06
41515 1 7.40807e-06
227008 1 7.40807e-06
292784 1 7.40807e-06
177285 1 7.40807e-06
416856 1 7.40807e-06
178254 1 7.40807e-06
306027 1 7.40807e-06
308117 1 7.40807e-06
868379 1 7.40807e-06
873193 1 7.40807e-06
182273 1 7.40807e-06
952750 1 7.40807e-06
415157 1 7.40807e-06
413171 1 7.40807e-06
1238524 1 7.40807e-06
1239653 1 7.40807e-06
322284 1 7.40807e-06
324515 1 7.40807e-06
29305 1 7.40807e-06
215658 1 7.40807e-06
1794119 1 7.40807e-06
27545 1 7.40807e-06
1832688 1 7.40807e-06
27070 1 7.40807e-06
333455 1 7.40807e-06
188979 1 7.40807e-06
410582 1 7.40807e-06
337759 1 7.40807e-06
2933642 1 7.40807e-06
7248 1 7.40807e-06
201880 1 7.40807e-06
256520 1 7.40807e-06
