path flow name node_id
1:1:1 0.00245991 "250291" 250291
1:1:2 0.0018342 "122757" 122757
1:1:3 0.00170962 "82628" 82628
1:1:4 0.00169301 "157744" 157744
1:1:5 0.00161548 "341561" 341561
1:1:6 0.00132616 "49572" 49572
1:1:7 0.00129986 "410407" 410407
1:1:8 0.00127495 "202280" 202280
1:1:9 0.00127495 "404907" 404907
1:1:10 0.00125972 "55278" 55278
1:1:11 0.00123618 "28372" 28372
1:1:12 0.00123203 "211092" 211092
1:1:13 0.00120573 "712066" 712066
1:1:14 0.00119466 "371959" 371959
1:1:15 0.00115451 "233210" 233210
1:1:16 0.00115036 "57484" 57484
1:1:17 0.00114205 "146930" 146930
1:1:18 0.00113513 "298693" 298693
1:1:19 0.00113236 "283914" 283914
1:1:20 0.00110052 "362133" 362133
1:1:21 0.00105761 "112274" 112274
1:1:22 0.00105069 "334839" 334839
1:1:23 0.00104653 "171137" 171137
1:1:24 0.00104377 "382466" 382466
1:1:25 0.00103131 "163608" 163608
1:1:26 0.00101193 "258409" 258409
1:1:27 0.000998084 "109138" 109138
1:1:28 0.000982857 "292751" 292751
1:1:29 0.000980088 "164484" 164484
1:1:30 0.000962092 "383836" 383836
1:1:31 0.000955171 "29588" 29588
1:1:32 0.000952402 "417781" 417781
1:1:33 0.000909489 "194415" 194415
1:1:34 0.000879034 "192358" 192358
1:1:35 0.00087765 "384839" 384839
1:1:36 0.000866575 "136395" 136395
1:1:37 0.000865191 "226782" 226782
1:1:38 0.000862422 "118212" 118212
1:1:39 0.000861038 "173691" 173691
1:1:40 0.000855501 "10804" 10804
1:1:41 0.000848579 "374035" 374035
1:1:42 0.000843042 "335813" 335813
1:1:43 0.000841658 "176267" 176267
1:1:44 0.000833352 "275897" 275897
1:1:45 0.000833352 "348211" 348211
1:1:46 0.000819509 "309240" 309240
1:1:47 0.000818124 "195770" 195770
1:1:48 0.00081674 "348342" 348342
1:1:49 0.000812587 "64073" 64073
1:1:50 0.00080705 "94830" 94830
1:1:51 0.000802897 "159172" 159172
1:1:52 0.000801513 "194653" 194653
1:1:53 0.000784901 "121809" 121809
1:1:54 0.000783517 "19971" 19971
1:1:55 0.00077798 "36850" 36850
1:1:56 0.000768289 "369556" 369556
1:1:57 0.000766905 "254083" 254083
1:1:58 0.000764137 "411651" 411651
1:1:59 0.000762752 "164792" 164792
1:1:60 0.000759984 "409056" 409056
1:1:61 0.000753062 "458855" 458855
1:1:62 0.000751678 "435488" 435488
1:1:63 0.000750293 "51948" 51948
1:1:64 0.000746141 "318929" 318929
1:1:65 0.000735066 "173055" 173055
1:1:66 0.000732298 "6798" 6798
1:1:67 0.000729529 "239603" 239603
1:1:68 0.000728145 "334156" 334156
1:1:69 0.000725376 "420349" 420349
1:1:70 0.000722607 "300770" 300770
1:1:71 0.000719839 "345158" 345158
1:1:72 0.000718454 "38145" 38145
1:1:73 0.00071707 "387418" 387418
1:1:74 0.000715686 "50197" 50197
1:1:75 0.000714302 "269975" 269975
1:1:76 0.000712917 "30844" 30844
1:1:77 0.000705996 "462828" 462828
1:1:78 0.000701843 "712425" 712425
1:1:79 0.000699074 "314698" 314698
1:1:80 0.000696306 "318222" 318222
1:1:81 0.000694921 "350680" 350680
1:1:82 0.000693537 "37342" 37342
1:1:83 0.000690768 "94263" 94263
1:1:84 0.000690768 "430532" 430532
1:1:85 0.000688 "268109" 268109
1:1:86 0.000676925 "20904" 20904
1:1:87 0.000675541 "370197" 370197
1:1:88 0.000674157 "242415" 242415
1:1:89 0.000670004 "449094" 449094
1:1:90 0.000657545 "425122" 425122
1:1:91 0.000643702 "440294" 440294
1:1:92 0.000642318 "313131" 313131
1:1:93 0.000640933 "3199" 3199
1:1:94 0.000638165 "5225412" 5225412
1:1:95 0.000632628 "14133" 14133
1:1:96 0.000629859 "349930" 349930
1:1:97 0.000621553 "443456" 443456
1:1:98 0.000620169 "410309" 410309
1:1:99 0.00060771 "2292894" 2292894
1:1:100 0.000604941 "416903" 416903
1:1:101 0.000604941 "408783" 408783
1:1:102 0.000599404 "365019" 365019
1:1:103 0.000596636 "394005" 394005
1:1:104 0.000595251 "160119" 160119
1:1:105 0.000593867 "70589" 70589
1:1:106 0.000592483 "458069" 458069
1:1:107 0.000592483 "271355" 271355
1:1:108 0.000591098 "206582" 206582
1:1:109 0.000586945 "21115" 21115
1:1:110 0.000586945 "596929" 596929
1:1:111 0.000586945 "433148" 433148
1:1:112 0.000584177 "13588" 13588
1:1:113 0.000582793 "1960" 1960
1:1:114 0.000581408 "65612" 65612
1:1:115 0.000577255 "419853" 419853
1:1:116 0.000575871 "452058" 452058
1:1:117 0.000573102 "434847" 434847
1:1:118 0.000571718 "460309" 460309
1:1:119 0.000571718 "676040" 676040
1:1:120 0.000567565 "195030" 195030
1:1:121 0.000567565 "410613" 410613
1:1:122 0.000567565 "34802" 34802
1:1:123 0.000567565 "150435" 150435
1:1:124 0.000567565 "295538" 295538
1:1:125 0.000564797 "314857" 314857
1:1:126 0.000552338 "251134" 251134
1:1:127 0.000550954 "163990" 163990
1:1:128 0.000549569 "88861" 88861
