Source Target Weight
97375 71834 69
250291 362133 68
250291 382466 68
250291 309240 68
165445 321451 68
169843 16 68
275897 57484 68
28372 712066 68
265751 453052 68
165445 249638 67
163608 49572 67
157744 28372 67
157744 314698 67
55278 109138 67
474938 495534 67
444562 2367 66
180681 93396 66
406150 213947 66
413071 49572 66
453333 331059 66
292751 712066 66
233210 410407 66
289030 466435 66
165445 225990 65
16 353309 65
409056 226782 65
28372 159172 65
369556 49572 65
298693 712066 65
431753 641015 65
418260 130970 65
262772 40115 65
262772 130970 65
71834 1852803 65
165445 167142 64
371959 157744 64
237487 331059 64
122757 712066 64
453333 404310 64
454904 16479 64
250291 159172 63
371959 82628 63
249638 192358 63
92954 103107 63
10804 28372 63
28372 109138 63
431753 897927 63
169688 380474 63
204997 40115 63
268109 321451 62
444562 453052 62
12852 211676 62
432674 118674 62
16 211676 62
57484 10804 62
453333 33168 62
298693 55278 62
55278 712066 62
85648 60920 62
110898 307171 61
192358 413071 61
237487 265751 61
92853 16 61
275897 28372 61
82628 159172 61
28372 51948 61
283914 233210 61
431753 644232 61
418260 118065 61
208560 204997 61
292753 1032919 61
268109 110898 60
163608 206582 60
16 490784 60
222880 96168 60
157744 283914 60
82628 10804 60
122757 28372 60
57484 233210 60
283914 109138 60
298693 202280 60
488832 504735 60
364448 140865 60
418260 169688 60
208560 380474 60
289030 242693 60
452617 74417 60
97375 28351 60
268109 249638 59
165445 93396 59
444562 265751 59
277693 116368 59
307519 130970 59
404907 28372 59
51948 49572 59
712066 410407 59
118674 157247 59
175501 463143 59
463143 204997 59
771160 292753 59
446066 292753 59
292753 1035774 59
1852803 678740 59
165445 371959 58
444562 454904 58
2367 404310 58
292751 410407 58
233210 55278 58
454904 265751 58
202280 109138 58
268109 169843 57
165445 146930 57
110898 169843 57
192358 57484 57
192358 226782 57
192358 157744 57
192358 28372 57
315203 289030 57
273946 311008 57
93696 442071 57
72423 169688 57
307519 204997 57
213947 146587 57
51948 410407 57
233210 298693 57
233210 712066 57
410407 109138 57
238392 453052 57
192358 409056 56
163608 291849 56
180681 490784 56
406150 103107 56
275897 55278 56
404907 410407 56
413071 28372 56
233210 202280 56
397572 169688 56
169688 204997 56
771160 1852803 56
97375 678740 56
250291 263813 55
110898 23859 55
307171 263813 55
307171 225990 55
163608 226782 55
347324 140865 55
93696 132873 55
311008 331059 55
314698 712066 55
57484 413071 55
57484 51948 55
57484 369556 55
57484 712066 55
283914 712066 55
418260 54140 55
244551 165143 55
250291 404907 54
165445 434359 54
110898 409056 54
443456 307171 54
307171 122757 54
192358 410407 54
163608 180379 54
72423 307519 54
122757 410407 54
453333 203910 54
103107 146587 54
132873 238392 54
452617 242693 54
301420 71834 54
667801 292753 54
352482 87606 54
268109 398876 53
250291 417781 53
434359 163608 53
309240 307171 53
307171 16 53
307171 222880 53
163608 157744 53
195792 380474 53
195792 397572 53
277693 98521 53
72423 463143 53
275897 410407 53
171130 238392 53
434479 431753 53
19111 378537 53
40115 130970 53
771160 446066 53
250291 413071 52
165445 353309 52
165445 410407 52
165445 57484 52
434359 307171 52
110898 92853 52
192358 159172 52
180681 165975 52
406150 464750 52
301325 259708 52
72423 262772 52
157744 206582 52
206582 28372 52
82628 314698 52
226782 362133 52
311008 453052 52
118674 60920 52
331059 60920 52
203910 85648 52
431753 81447 52
208560 463143 52
452617 466435 52
252505 479640 52
446066 1852803 52
165445 222880 51
371959 163608 51
307171 362133 51
192358 292751 51
192358 712066 51
306228 466435 51
308152 452617 51
321451 16 51
157744 233210 51
157744 51948 51
82628 112274 51
213947 103107 51
453333 394628 51
28372 334839 51
67095 98521 51
431753 751903 51
175501 204997 51
204666 246331 51
268109 93396 50
250291 110898 50
309018 479640 50
163608 257228 50
306228 308152 50
277693 342143 50
206582 122757 50
122757 292751 50
122757 233210 50
453333 238392 50
10804 283914 50
159172 712066 50
418260 109322 50
175501 40115 50
40115 118065 50
268109 294668 49
250291 20904 49
250291 443456 49
165445 381324 49
444562 157247 49
444562 38951 49
272518 163608 49
192358 298693 49
163608 398876 49
306228 242693 49
308152 289030 49
359327 146587 49
273946 13104 49
409056 82628 49
72423 208560 49
82628 171137 49
82628 374035 49
413071 283914 49
33168 132873 49
292751 55278 49
334839 283914 49
51948 712066 49
369556 55278 49
452617 284000 49
463143 380474 49
463143 262772 49
28351 1032919 49
268109 82628 48
250291 430532 48
250291 345158 48
397450 222880 48
444562 432674 48
444562 60920 48
405164 163608 48
169843 192358 48
192358 122757 48
163608 165975 48
277693 19111 48
16 409056 48
182876 397572 48
404907 55278 48
82628 345158 48
122757 334839 48
122757 283914 48
369556 712066 48
265751 85648 48
268109 206582 47
250291 4523 47
250291 169843 47
250291 374035 47
