Id,order,stance_1,stance_2,stance_3
60920,126,1 (pro),2 (neutral),1 (pro)
226782,127,3 (anti),2 (neutral),2 (neutral)
38951,128,1 (pro),1 (pro),1 (pro)
453052,129,2 (neutral),1 (pro),1 (pro)
237487,130,1 (pro),1 (pro),1 (pro)
157744,131,3 (anti),2 (neutral),1 (pro)
164792,132,3 (anti),3 (anti),3 (anti)
233210,133,2 (neutral),2 (neutral),2 (neutral)
41599,134,2 (neutral),1 (pro),2 (neutral)
453333,135,1 (pro),2 (neutral),2 (neutral)
432674,136,1 (pro),2 (neutral),2 (neutral)
85648,137,1 (pro),1 (pro),1 (pro)
405164,138,2 (neutral),2 (neutral),2 (neutral)
259708,139,1 (pro),1 (pro),1 (pro)
462828,140,3 (anti),2 (neutral),2 (neutral)
250291,141,2 (neutral),2 (neutral),2 (neutral)
454904,142,1 (pro),1 (pro),1 (pro)
12852,143,3 (anti),1 (pro),2 (neutral)
405164,144,3 (anti),3 (anti),2 (neutral)
432674,145,2 (neutral),2 (neutral),2 (neutral)
82628,146,1 (pro),2 (neutral),3 (anti)
85648,147,2 (neutral),2 (neutral),2 (neutral)
444562,148,1 (pro),1 (pro),1 (pro)
444562,149,1 (pro),2 (neutral),2 (neutral)
118674,150,1 (pro),1 (pro),1 (pro)
180681,151,2 (neutral),2 (neutral),2 (neutral)
140865,152,1 (pro),2 (neutral),2 (neutral)
165445,153,3 (anti),2 (neutral),3 (anti)
132873,154,2 (neutral),2 (neutral),2 (neutral)
82628,155,2 (neutral),2 (neutral),2 (neutral)
237487,156,1 (pro),2 (neutral),2 (neutral)
192358,157,3 (anti),2 (neutral),3 (anti)
453333,158,2 (neutral),2 (neutral),1 (pro)
364448,159,1 (pro),1 (pro),1 (pro)
405164,160,3 (anti),3 (anti),3 (anti)
331059,161,1 (pro),2 (neutral),1 (pro)
432674,162,1 (pro),1 (pro),1 (pro)
432674,163,1 (pro),1 (pro),1 (pro)
192358,164,2 (neutral),2 (neutral),3 (anti)
409056,165,3 (anti),3 (anti),3 (anti)
331059,166,1 (pro),1 (pro),2 (neutral)
417781,167,3 (anti),3 (anti),1 (pro)
140865,168,2 (neutral),2 (neutral),2 (neutral)
118674,169,1 (pro),1 (pro),1 (pro)
165445,170,3 (anti),3 (anti),3 (anti)
82628,171,1 (pro),2 (neutral),2 (neutral)
82628,172,1 (pro),2 (neutral),2 (neutral)
82628,173,1 (pro),1 (pro),2 (neutral)
38951,174,2 (neutral),2 (neutral),3 (anti)
171137,175,2 (neutral),2 (neutral),2 (neutral)
92954,176,2 (neutral),2 (neutral),2 (neutral)
157744,177,2 (neutral),2 (neutral),2 (neutral)
417781,178,2 (neutral),2 (neutral),2 (neutral)
180681,179,2 (neutral),2 (neutral),2 (neutral)
157744,180,3 (anti),3 (anti),3 (anti)
60920,181,1 (pro),1 (pro),1 (pro)
444562,182,1 (pro),2 (neutral),2 (neutral)
432674,183,1 (pro),2 (neutral),2 (neutral)
148200,184,1 (pro),1 (pro),1 (pro)
453333,185,2 (neutral),2 (neutral),2 (neutral)
371959,186,3 (anti),2 (neutral),2 (neutral)
226782,187,2 (neutral),2 (neutral),2 (neutral)
259708,188,1 (pro),1 (pro),1 (pro)
432674,189,3 (anti),2 (neutral),2 (neutral)
268109,190,3 (anti),2 (neutral),2 (neutral)
453333,191,2 (neutral),2 (neutral),2 (neutral)
273946,192,1 (pro),1 (pro),1 (pro)
307171,193,3 (anti),2 (neutral),2 (neutral)
118674,194,1 (pro),1 (pro),1 (pro)
462828,195,2 (neutral),1 (pro),1 (pro)
237487,196,1 (pro),1 (pro),1 (pro)
180681,197,2 (neutral),2 (neutral),2 (neutral)
417781,198,2 (neutral),2 (neutral),2 (neutral)
462828,199,2 (neutral),2 (neutral),3 (anti)
331059,200,1 (pro),1 (pro),1 (pro)
273946,201,1 (pro),1 (pro),1 (pro)
148200,202,1 (pro),1 (pro),1 (pro)
233210,203,3 (anti),2 (neutral),2 (neutral)
462828,204,3 (anti),3 (anti),3 (anti)
163608,205,3 (anti),2 (neutral),3 (anti)
164792,206,3 (anti),3 (anti),3 (anti)
371959,207,3 (anti),3 (anti),3 (anti)
364448,208,1 (pro),2 (neutral),2 (neutral)
192358,209,2 (neutral),3 (anti),2 (neutral)
92954,210,2 (neutral),1 (pro),2 (neutral)
49572,211,3 (anti),3 (anti),3 (anti)
180681,212,2 (neutral),2 (neutral),2 (neutral)
82628,213,2 (neutral),2 (neutral),2 (neutral)
364448,214,2 (neutral),2 (neutral),2 (neutral)
2367,215,1 (pro),2 (neutral),2 (neutral)
38951,216,3 (anti),3 (anti),3 (anti)
132873,217,2 (neutral),1 (pro),2 (neutral)
118674,218,1 (pro),1 (pro),1 (pro)
12852,219,1 (pro),2 (neutral),2 (neutral)
371959,220,3 (anti),3 (anti),2 (neutral)
237487,221,2 (neutral),2 (neutral),3 (anti)
164792,222,3 (anti),3 (anti),3 (anti)
148200,223,2 (neutral),1 (pro),1 (pro)
307171,224,3 (anti),3 (anti),3 (anti)
60920,225,2 (neutral),2 (neutral),1 (pro)
140865,226,1 (pro),1 (pro),1 (pro)
85648,227,2 (neutral),1 (pro),1 (pro)
165445,228,3 (anti),3 (anti),3 (anti)
432674,229,1 (pro),1 (pro),1 (pro)
226782,230,3 (anti),3 (anti),3 (anti)
171137,231,2 (neutral),2 (neutral),2 (neutral)
444562,232,1 (pro),1 (pro),1 (pro)
85648,233,2 (neutral),2 (neutral),1 (pro)
307171,234,2 (neutral),2 (neutral),2 (neutral)
364448,235,1 (pro),1 (pro),2 (neutral)
453052,236,1 (pro),1 (pro),1 (pro)
432674,237,2 (neutral),2 (neutral),3 (anti)
49572,238,2 (neutral),2 (neutral),2 (neutral)
60920,239,1 (pro),1 (pro),2 (neutral)
85648,240,2 (neutral),2 (neutral),1 (pro)
453333,241,2 (neutral),2 (neutral),2 (neutral)
444562,242,2 (neutral),2 (neutral),2 (neutral)
409056,243,3 (anti),3 (anti),3 (anti)
233210,244,2 (neutral),2 (neutral),2 (neutral)
453052,245,1 (pro),1 (pro),1 (pro)
85648,246,2 (neutral),1 (pro),2 (neutral)
49572,247,3 (anti),3 (anti),3 (anti)
163608,248,3 (anti),3 (anti),2 (neutral)
85648,249,2 (neutral),2 (neutral),2 (neutral)
12852,250,2 (neutral),1 (pro),1 (pro)
454904,251,2 (neutral),2 (neutral),2 (neutral)
454904,252,2 (neutral),2 (neutral),2 (neutral)
132873,253,1 (pro),2 (neutral),2 (neutral)
453333,254,2 (neutral),2 (neutral),2 (neutral)
157744,255,2 (neutral),2 (neutral),2 (neutral)
405164,256,2 (neutral),2 (neutral),2 (neutral)
140865,257,1 (pro),2 (neutral),1 (pro)
171137,258,2 (neutral),2 (neutral),3 (anti)
371959,259,3 (anti),2 (neutral),3 (anti)
233210,260,2 (neutral),2 (neutral),2 (neutral)
