"Id","path1","is_PE","old_path1","in_orig","old_comm","old_comm.is_PE","path1.is_PE","Community","Degree","Betweenness","PageRank","Bridge"
1000599,3,NA,3,TRUE,"micro","micro NA","3 NA",NA,10,8.5,5.3507726753169e-05,0
100112,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",4,4.89285714285714,3.97522882098959e-05,0
1001123,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",1,0,3.49573575118822e-05,0
100207,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",42,2464.57576493454,0.00020025971715684,0
1002313,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,7,1444.57071736164,6.37277305330777e-05,0
100254,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",82,69073.6237363863,0.000493531202206995,39
100273,6,FALSE,11,TRUE,"micro","micro FALSE","6 FALSE",NA,5,10,0.000130681140815467,0
100444,1,NA,NA,FALSE,NA,"NA NA","1 NA","Anti-vaccine",3,43.2214285714286,3.78478750594378e-05,0
1005365,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,17,22.0480680868839,6.4189799794154e-05,0
100560,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",19,3864.96964019197,0.00019487588545008,2
100586,5,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","5 NA",NA,10,571.601415251415,0.000161250008406052,1
100613,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",4,43.0560728792379,3.67566753024633e-05,0
100683,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",1,0,3.93777893162763e-05,0
100792,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",22,26544.3972675645,0.000322410446075782,0
100968,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",6,12078.4123470097,0.000129344442758311,0
10106,5,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","5 NA",NA,1,0,4.09032109518062e-05,0
101223,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",16,152.363065792482,5.69895177831006e-05,0
101227,40,FALSE,3,TRUE,"micro","micro FALSE","40 FALSE",NA,1,0,6.32526575924221e-05,0
101242,3,NA,3,TRUE,"micro","micro NA","3 NA",NA,65,18052.6728826282,0.000339051434482849,0
1013309,6,FALSE,11,TRUE,"micro","micro FALSE","6 FALSE",NA,3,0,0.000112517850729783,0
101637,7,FALSE,5,TRUE,"micro","micro FALSE","7 FALSE",NA,13,0,0.000209716515520034,0
1017253,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,4,64.0709457209457,3.75519841049363e-05,0
101863,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",45,1195.34570239702,0.000194295029322513,0
1018859,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,79,226.290054390054,0.000312995006035474,0
1018881,5,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","5 NA",NA,1,0,4.3656809418387e-05,0
1019096,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",12,208.533889482166,5.94988647629017e-05,0
101913,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",7,674.96187978688,0.000130496843212977,0
102110,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",3,94.634848321613,3.60301300428679e-05,0
1021577,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,2,1.2,3.64591861763603e-05,0
102215,11,FALSE,7,TRUE,"micro","micro FALSE","11 FALSE",NA,8,8.66666666666667,0.000139160455551005,0
1023297,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,3,0.25,3.99044429005182e-05,0
1024,100,TRUE,2,TRUE,"Pro-vaccine","Pro-vaccine TRUE","100 TRUE",NA,1,0,0.000207339829981395,0
102437,3,NA,3,TRUE,"micro","micro NA","3 NA",NA,3,1.25,3.66588299511639e-05,0
102478,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",3,0,4.14222405102187e-05,0
1028283,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,26,34.6905844155844,8.90457291798384e-05,0
1028299,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",6,2746.46254047301,5.22749889651078e-05,0
102929,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",11,436.121955066677,4.17508551581916e-05,0
1029397,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,1,0,5.44121172171568e-05,0
102989,43,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","43 NA",NA,1,0,0.000207339829981395,0
