"Id","path1","is_PE","old_path1","in_orig","old_comm","old_comm.is_PE","path1.is_PE","Community","Degree","Betweenness","PageRank","Bridge"
20954,6,FALSE,11,TRUE,"micro","micro FALSE","6 FALSE",NA,2,0,2.2424023678934e-05,0
209614,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,285,2795.97220021264,0.000298073967500203,0
209620,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",11,8.56785714285714,1.98138821279812e-05,0
209713,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",52,664.134443987385,4.31616840900523e-05,0
2097548,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",2,0,1.52924266387035e-05,0
209790,1,NA,NA,FALSE,NA,"NA NA","1 NA","Anti-vaccine",5,2550.36706349206,2.62587094104448e-05,1
2098,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",62,695.771726028422,3.28335480524895e-05,0
209810,1,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","1 FALSE","Anti-vaccine",119,10877.7548440571,0.000107677601774647,0
2099892,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,17,41921.8235643442,0.00013055065334294,0
2100024,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,2,18.5245421245421,1.48034003147846e-05,0
210129,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",4,6.83333333333333,1.87157275733385e-05,0
210177,1,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","1 FALSE","Anti-vaccine",11,397.871036773851,1.8233874901639e-05,0
2102580,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,24,0,8.41347652042205e-05,0
210325,1,TRUE,1,TRUE,"Anti-vaccine","Anti-vaccine TRUE","1 TRUE","Anti-vaccine",210,2370.97861860361,0.000201271919297886,3
210369,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",19,1084.16655160667,2.19027568407529e-05,0
210416,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",22,52.7485833610834,2.45780407704538e-05,0
2104974,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",25,3219.250160416,2.61223245790349e-05,0
2105316,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,17,75.7800921300922,1.96213659868707e-05,0
210559,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",32,11833.7368307131,5.7877859875711e-05,0
210573,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",29,143.537984237984,2.24860459487276e-05,0
2105833,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,131,1254.71740662611,0.000100877906949181,0
2106286,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,102,2788.71046977618,6.38624370785282e-05,0
2106927,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,27,971.182984888486,2.2737503742342e-05,0
210737,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",7,692.613267463016,1.64238500389215e-05,0
2107615,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,2,0,1.49870183048957e-05,0
210769,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",77,50354.3565358002,8.67125291718863e-05,0
210784,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",117,819.635025062653,9.80763474254667e-05,0
210805,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",1,0,1.72210122176438e-05,0
210812,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",7,164.886407318524,1.77269786753911e-05,0
210816,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",262,3871.6956806317,0.000283938789936804,0
2108339,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,4,0,1.55896665435037e-05,0
2108780,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,5,0,1.64004577037927e-05,0
2109393,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",2,4.83333333333333,1.52292458899756e-05,0
211092,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",890,496194.904095236,0.00119117180959735,10
21115,1,TRUE,NA,FALSE,NA,"NA TRUE","1 TRUE","Anti-vaccine",424,7505.14876359158,0.000329840581759305,0
2112938,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",1,0,1.45773019645659e-05,0
2113343,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",3,19983,8.16019492807403e-05,0
211361,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",1,0,1.4703249198433e-05,0
211432,2,TRUE,NA,FALSE,NA,"NA TRUE","2 TRUE","Pro-vaccine",5,0,4.73426791242284e-05,0
211519,7,FALSE,NA,FALSE,NA,"NA FALSE","7 FALSE",NA,6,2,4.613318768518e-05,0
2115410,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,52,340.522492784993,4.8833399307344e-05,0
211554,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",126,1143.45671152677,9.40041379026961e-05,0
2116160,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,1,0,1.45505031055019e-05,0
211676,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",362,100008.908948733,0.000442252171611494,8
211827,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",7,37.8639400488236,1.71633955161631e-05,0
211875,2,TRUE,NA,FALSE,NA,"NA TRUE","2 TRUE","Pro-vaccine",218,14069.7086959264,0.000220256526797644,0
211921,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",229,25468.5862188283,0.000169418459944935,0
2119945,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,6,0,1.65561351067236e-05,0
21201,2,TRUE,NA,FALSE,NA,"NA TRUE","2 TRUE","Pro-vaccine",1,0,1.47705505073571e-05,0
212054,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",17,1206.60751974633,2.89768079102253e-05,0
2121052,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,136,1326.43907148195,6.73953651259975e-05,0
2122016,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",15,37,1.91641742716263e-05,0
212227,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",6,370.795238095238,2.31398585277872e-05,0
2122435,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",10,281.626448899286,1.84461850820093e-05,0
2123187,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,3,0.7,1.51760283405897e-05,0
212335,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",13,54.1914707534375,1.69014872620426e-05,0
2123482,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,11,902.380591630591,1.74699794508194e-05,0
212373,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",21,354.174975024975,4.57197682223781e-05,0
21266,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",14,56.3169129774295,2.13606239680806e-05,0
21268,2,TRUE,2,TRUE,"Pro-vaccine","Pro-vaccine TRUE","2 TRUE","Pro-vaccine",13,1157.25825068272,2.12416651948509e-05,0
212687,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",17,216.979538344639,2.25374317755945e-05,0
2127229,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",3,1,1.63858115399657e-05,0
212728,1,NA,NA,FALSE,NA,"NA NA","1 NA","Anti-vaccine",146,49899.7614557252,0.000167997196789196,0
212806,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",56,183.742857142857,4.03247815777859e-05,0
212822,2,TRUE,2,TRUE,"Pro-vaccine","Pro-vaccine TRUE","2 TRUE","Pro-vaccine",173,4577.38546229574,0.000139471076262909,0
212924,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",2,339.640168979025,1.4796515879213e-05,0
2129269,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,1,0,1.45323590807358e-05,0
212937,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",14,27.7718491121757,1.72728147999021e-05,0
2130517,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,176,1189.59583778926,0.000116248959645061,0
213055,2,TRUE,NA,FALSE,NA,"NA TRUE","2 TRUE","Pro-vaccine",3,0,2.19964843645147e-05,0
213105,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",562,42579.7168188952,0.00149744722432938,2
213148,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",16,855.416059757237,1.85026372610538e-05,0
2131866,3,TRUE,NA,FALSE,NA,"NA TRUE","3 TRUE",NA,1,0,1.4522441511215e-05,0
