"Id","path1","is_PE","old_path1","in_orig","old_comm","old_comm.is_PE","path1.is_PE","Community","Degree","Betweenness","PageRank","Bridge"
198227,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",137,65863.6952198495,0.000113835219226019,0
1982502,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,284,8643.90090125734,0.000258107547125088,1
198274,1,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","1 NA","Anti-vaccine",26,1352.75388056665,3.53800472955393e-05,2
198289,10,FALSE,7,TRUE,"micro","micro FALSE","10 FALSE",NA,9,0,0.00012691232720707,0
198347,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",38,2236.53241758242,0.000138928962972896,3
198353,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",66,14861.5709896993,6.07043089639139e-05,0
198393,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",90,10560.6007126266,8.02084274806647e-05,0
198410,2,TRUE,2,TRUE,"Pro-vaccine","Pro-vaccine TRUE","2 TRUE","Pro-vaccine",283,24732.8612568608,0.000284255009024137,0
198518,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",2,0,1.9043172615209e-05,0
198534,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",34,732.840873015873,0.000105719396502682,0
19859,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",260,18726.1431405189,0.000278049423190541,0
